Agency Name,Train Example,Service Area,Daily Ridership,Clipper?,Routes,Stations,Track Length,Track Gauge,Mass Transit Connections
ACE,,"San Joaquin, Alameda and Santa Clara counties","4,900[5]",No,1,10 (10 surface),86 mi (138 km),"4 ft 8 1⁄2 in (1,435 mm)
 (standard gauge)","Amtrak, Caltrain, VTA Light Rail"
Caltrain,,"San Francisco, San Mateo and Santa Clara counties","58,200[5]",Yes,1,"32 (32 surface)
 1 planned (subway)",77.4 mi (124.6 km),"4 ft 8 1⁄2 in (1,435 mm)
 (standard gauge)","ACE, Amtrak, BART, Muni Metro, VTA Light Rail"
Capitol Corridor,,"Santa Clara, Alameda County, Contra Costa, Yolo, Sacramento, and Placer counties","5,000[5]",No,1,17 (17 surface),168 mi (270 km),"4 ft 8 1⁄2 in (1,435 mm)
 (standard gauge)","ACE, Amtrak, BART, Caltrain, VTA Light Rail"
"eBART
 under construction",,Eastern Contra Costa County,–,Yes,1,3,10 mi (16 km),"4 ft 8 1⁄2 in (1,435 mm)
 (standard gauge)",BART
SMART,,Marin and Sonoma counties,—,Yes,1,"10 (surface)
 6 planned (surface)",38 mi (61 km),"4 ft 8 1⁄2 in (1,435 mm)
 (standard gauge)",Ferry (planned)
BART,,"San Francisco, Alameda and Contra Costa counties
 Parts of: San Mateo County
 Planned: Santa Clara County","455,400[5]",Yes,5,"45 (16 subway, 29 surface)
 4 under construction (surface)",104 mi (167 km),"5 ft 6 in (1,676 mm)
 (Indian gauge)","Amtrak, Caltrain, Muni Metro, VTA Light Rail (under construction)"
Muni Metro,,San Francisco,"157,400[5]",Yes,6,"33 (9 subway, 24 surface)
 4 under construction
 87 additional surface stops",34.6 mi (55.7 km),"4 ft 8 1⁄2 in (1,435 mm)
 (standard gauge)","BART, Caltrain, and Ferries"
San Francisco Cable Car,,San Francisco,"16,100[5]",Yes,3,52,5.1 mi (8.2 km),"3 ft 6 in (1,067 mm)","BART, Muni Metro"
San Francisco Heritage Streetcars,,"Market Street Railway,
 Embarcadero","23,208 (F)[6]
 N/A (E)",Yes,2,32 (F),6 mi (9.7 km),"4 ft 8 1⁄2 in (1,435 mm)
 (standard gauge)","BART, Muni Metro, Ferries, and Caltrain"
VTA Light Rail,,Santa Clara County,"30,800[5]",Yes,3,62 (62 surface),42.2 mi (67.9 km),"4 ft 8 1⁄2 in (1,435 mm)
 (standard gauge)","ACE, Amtrak, BART(under construction), Caltrain"
AirTrain,,San Francisco International Airport,,n/a,2,9,6 mi (9.7 km),,BART
Coliseum–Oakland International Airport line,,Oakland International Airport,"2,800[5]",Yes,1,2,3.2 mi (5.1 km),,"Amtrak, BART"
