"","route_id","agency_id","route_short_name","route_long_name","route_type","f_am","f_pm","f_am_ls_thn_15m","f_pm_ls_thn_15m","f_am_bdl","f_pm_bdl","f_tpa_qual","avg_am_headway","avg_pm_headway","avg_am_trips","avg_pm_trips"
"13","5R","SF","5R","FULTON  RAPID",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,63,31,20.3333333333333
"14","6","SF","6","HAIGHT-PARNASSUS",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28.5,149.75,15,8.75
"15","7","SF","7","HAIGHT-NORIEGA",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,18.5,20,13.5,15
"16","7R","SF","7R","HAIGHT-NORIEGA RAPID",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22,17,11,14
"17","7X","SF","7X","NORIEGA EXPRESS",3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,15,18,16,13
"18","8","SF","8","BAYSHORE",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,28.5,151,16,9.4
"19","8AX","SF","8AX","Bayshore A Express",3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,7,8,35,31
"20","8BX","SF","8BX","Bayshore B Express",3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10,10,26,24
"21","9","SF","9","SAN Bruno",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,76,88,10,13.6666666666667
"22","9R","SF","9R","SAN BRUNO RAPID",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10.5,24,22.5,13.3333333333333
"23","10","SF","10","TOWNSEND",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,14,54.6666666666667,18,10.6666666666667
"24","12","SF","12","FOLSOM-PACIFIC",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,17,90,14,11
"25","14","SF","14","MISSION",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,52,88.75,11,10.75
"26","14R","SF","14R","MISSION RAPID",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,14,8.5,23,28.5
"27","14X","SF","14X","MISSION EXPRESS",3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10,10,23,24
"28","18","SF","18","46TH AVENUE",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,21.5,20,11.5,12
"29","19","SF","19","POLK",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16.5,15,14.5,16
"30","21","SF","21","HAYES",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9.5,9,26,26
"31","22","SF","22","FILLMORE",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,103.666666666667,109.75,13.6666666666667,15.25
"32","23","SF","23","MONTEREY",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,43.5,93.3333333333333,8.5,8.33333333333333
"33","24","SF","24","DIVISADERO",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,95,11,13,26.5
"34","25","SF","25","TREASURE ISLAND",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,15.5,22,15.5
"35","27","SF","27","BRYANT",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,27.5,15,13,16
"36","28","SF","28","19TH AVENUE",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,35.5,21.5,21.5
"37","28R","SF","28R","19TH AVENUE",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,24,17.5,12.5,23
"38","29","SF","29","SUNSET",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,48,107,12,11.5
"39","30","SF","30","STOCKTON",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,66.75,27,11.75,19.4
"40","30X","SF","30X","MARINA EXPRESS",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,6,14,37,18
"41","31","SF","31","BALBOA",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20.5,84,16,11
"42","33","SF","33","ASHBURY-18TH ST",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,37.5,90,11,11
"43","35","SF","35","EUREKA",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,34.5,17,7,14
"44","36","SF","36","TERESITA",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,31.5,30,8,8
"45","37","SF","37","CORBETT",3,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,60,15,11,16
"46","38","SF","38","GEARY",3,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,34.5,71.75,9.5,11.75
"47","38R","SF","38R","GEARY RAPID",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.5,4,45,53.5
"48","39","SF","39","COIT",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,101,20,2.5,12
"49","41","SF","41","UNION",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,59.5,37.3333333333333,19.5,14
"50","43","SF","43","MASONIC",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10.5,10,22.5,23.5
"51","44","SF","44","O'SHAUGHNESSY",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,57.75,60,12,22
"52","45","SF","45","UNION-STOCKTON",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,66,12,19,20
"53","47","SF","47","VAN NESS",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,8,26.5,30.5
"54","48","SF","48","QUINTARA-24TH STREET",3,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,51.6666666666667,127.5,9,6.75
"55","49","SF","49","VAN NESS-MISSION",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9.5,8,26,31
"56","52","SF","52","EXCELSIOR",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,25,21.5,10,11
"57","54","SF","54","FELTON",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,38,54.5,10.5,10
"58","55","SF","55","16TH STREET",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,15,15,16,16
"59","56","SF","56","RUTLAND",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,42,94.6666666666667,6,4
"60","57","SF","57","PARKMERCED",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,21.5,20,11,12
"61","Powell-Mason","SF","Powell-Mason","CABLE CAR",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"62","Powell-Hyde","SF","Powell-Hyde","CABLE CAR",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"63","CALIFORNIA","SF","CALIFORNIA","CABLE CAR",5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"64","66","SF","66","QUINTARA",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,20.5,93.3333333333333,12,8.33333333333333
"65","67","SF","67","BERNAL HEIGHTS",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,21,20,11.5,12
"66","76X","SF","76X","MARIN HEADLANDS EXPRESS",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"67","81X","SF","81X","CALTRAIN EXPRESS",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,NA,6,NA
"68","82X","SF","82X","LEVI PLAZA EXPRESS",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22,24,11,10
"69","83X","SF","83X","MID-MARKET EXPRESS",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,23.5,25,10.5,9.5
"70","88","SF","88","BART SHUTTLE",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,34,30,7,8
"71","90","SF","90","SAN BRUNO OWL",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"72","91","SF","91","3RD-19TH AVE OWL",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,231,NA,1,NA
"73","K-OWL","SF","K-OWL",NA,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"74","L-OWL","SF","L-OWL",NA,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"75","M-OWL","SF","M-OWL",NA,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"76","N-OWL","SF","N-OWL",NA,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"77","T-OWL","SF","T-OWL",NA,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"78","J","SF","J","CHURCH",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"79","KT","SF","KT","INGLESIDETHIRD",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"80","L","SF","L","TARAVAL",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"81","M","SF","M","OCEANVIEW",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"82","N","SF","N","JUDAH",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"83","NX","SF","NX","N EXPRESS",3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,14,16,17,15
"84","632","AC","632","Snake Rd./Colton-Montera Jr. HS",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"85","650","AC","650","Skyline High - Montera Middle School",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"86","19","AC","19","Dowtown Oakland - Fruitvale BART",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,21,23,11.5,10.5
"87","40","AC","40","Dtn. Oakland/Bayfair Bart",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,21,20,11.3333333333333,12
"88","45","AC","45","Eastmont T. C./Foothill Sq.",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,22,16,11,15
"89","46","AC","46","Coliseum Bart/Knowland Zoo",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,150,55,1.66666666666667,4.5
"90","47","AC","47","Fruitvale Bart - Maxwell Park",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,127.333333333333,113,2.66666666666667,3
"91","210","AC","210","Union Landing - Frmt. Blvd. - Ohlone",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,30,30,8,8
"92","339","AC","339","Fruitvale Bart - Chabot Observatory",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,240,240,1,1
"93","39","AC","39","Fruitvale Bart /Skyline High School",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,57.5,62.5,4.5,4
"94","32","AC","32","Hayward Bart-C.V. Bart-Hwd. Bart-Cherryland",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,60,60,4,4
"95","48","AC","48","Bayfair BART- Castro Valley- Hayward bart",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,76,60.5,3,4
"96","51A","AC","51A","Oakland/ Alameda/ Fruitvale Bart",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,51.5,10,18.5,24
"97","51B","AC","51B","RockRidge - 3RUN",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,23,24.5
"98","54","AC","54","Fruitvale BART - Merritt College",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13,16,19,15
"99","60","AC","60","CSUEB / HAYWARD BART SHUTTLE",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,20,20,12,12
"100","62","AC","62","West  Oakland - Fruitvale Bart",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,15.5,16,15.5,15
"101","7","AC","7","D.NORTE BART/BERKELEY BART",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,30.5,30,8,8
"102","72M","AC","72M","Richmond - Downtown Oakland",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,40,30.5,7.5,8
"103","99","AC","99","Hwd.BART- UC  Bart - Fmt Bart",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,20,20,12,12
"104","14","AC","14","W.OAKLAND/FRUITVALE BART",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15.5,15,15.5,16
"105","18","AC","18","San Pablo & Monroe/Berkeley/Merritt BART",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,16,15,15,16
"106","21","AC","21","Fruitvale Ave /Alameda/ Oakland Airport",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,40.5,48,6.5,6
"107","215","AC","215","Fremont BART-Mission-Warm Springs-Industrial Area",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,70.5,60.5,3.5,4
"108","1","AC","1","San Leandro Bart- Dtn. Oakland",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,8,28,29.5
"109","314","AC","314","Alameda Senior Shuttle",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"110","65","AC","65","Spruce St. - Euclid Ave.",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,48.5,46,6,6
"111","800","AC","800","OWL-DTN.OAKLAND/RICHMOND",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"112","216","AC","216",NA,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,60.5,60,4,4
"113","75","AC","75","Bayfair Bart-Washington Manor-S. L. Bart",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,60.5,60.5,4,4
"114","802","AC","802","OWL- Berkeley-Emeryville/Dnt-Oak",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"115","83","AC","83","Hayward BART - S. Hayward BART",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,60,60,4,4
"116","840","AC","840","OWL-Dtn. Oakland - Eastmont T. C.",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"117","57","AC","57","Emeryville/ Macarthur Blvd/ Foothill Sq",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16,15,15.5,16
"118","851","AC","851","OWL - ALAMEDA/DNT BERK",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"119","93","AC","93","Hayward Bart-Bayfair Bart-San Lorenzo",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,60.5,60,4,4
"120","95","AC","95","Kelly Hill - Hayward BART",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,40,40.5,6,6
"121","98","AC","98","Coliseum Bart/ 98th Ave/ Eastmont  T.C.",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,20.5,20,12,12
"122","B","AC","B","San Francisco - Trestle Glen",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,160,67,2,4
"123","CB","AC","CB","San Francisco - Montclair",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48,75,5,3
"124","F","AC","F","San Francisco - Berkeley",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,32.5,63,7.5,6.5
"125","FS","AC","FS","San Francisco - Berkeley",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,40,79,6,3
"126","H","AC","H","San Francisco - Richmond",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,30,41,8,6
"127","L","AC","L","San Francisco - El Sobrante",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27,26,9,9
"128","NL","AC","NL","San Francisco - Eastmont T.C.",3,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,18.5,16.5,13.5,14.5
"129","NX","AC","NX","East Oakland - San Francisco",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,NA,10,NA
"130","NX2","AC","NX2","San Francisco - East Oakland",3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,28,NA,8
"131","NXC","AC","NXC","SF - Oakland (N/NX Sweeper)",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"132","O","AC","O","San Francisco - Alameda - Fruitvale Bart",3,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,22,26.5,11.5,10
"133","U","AC","U","Frmt. BART- Stanford University",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,51,44,5,5
"134","W","AC","W","San Francisco - Alameda",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,32,34,7,7
"135","22","AC","22","Hayward Bart -South Hayward Bart - Chabot",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,35.5,30,7,8
"136","239","AC","239","Fremont BART-Warm Springs",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,41,30.5,6,8
"137","251","AC","251","Fremont BART-Mowry-Thornton",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,63.5,59.5,4,4
"138","356","AC","356","Alameda Senior Shuttle",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"139","376","AC","376","North Richmond Shuttle",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"140","52","AC","52","U.C. Village - U.C. Campus",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,16,15.5,15,15.5
"141","88","AC","88","Berkeley BART - Downtown Oakland",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,16,15,15,16
"142","617","AC","617","SEMINARY-SKYLINE HS",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"143","LA","AC","LA","San Francisco - El Sobrante",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,164,82.3333333333333,2.5,3.33333333333333
"144","Z","AC","Z","San Francisco - Albany",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,120,120,2,2
"145","LC","AC","LC","SF/Hilltop Park & Ride (L/LA Sweeper)",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"146","S","AC","S","San Francisco - San Lorenzo- Hayward",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,62,4,4
"147","BSN","AC","BSN","BROADWAY SHUTTLE NIGHT",3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,240,NA,1
"148","67","AC","67","Berkeley Bart - Grizzly Peak Blvd.",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,30.5,30,8,8
"149","200","AC","200","Union City BART-Newpark Mall-Fremont BART",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,33,30.5,7.5,8
"150","212","AC","212","Fremont BART-Newpark Mall-Pacific Commons",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,33.5,30,7.5,8
"151","625","AC","625","Centerville JHS - Niles & El Portal",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"152","651","AC","651","Holy Names H.S./ 9th Broadway",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,240,1,1
"153","606","AC","606","Berkeley - Oakland - H.Royce School",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,240,1,1
"154","607","AC","607","Richmond H.S. - Point Richmond",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"155","217","AC","217","Frmt BART - Mission - Milpitas - Alder",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,100.333333333333,30,5.66666666666667,8
"156","618","AC","618","Montera J.H.S. - Skyline High School",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"157","620","AC","620","Cedar Blvd.",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"158","37","AC","37","HWD. BART-WHITMAN-SO. HWD. BART",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,60,60,4,4
"159","621","AC","621","Fremont - American H.S.",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,240,1,1
"160","623","AC","623","Horner JH - P. Padre Pkwy & Mission",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,120,240,2,1
"161","624","AC","624","Paseo Padre - Mission S.J. High School",3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,240,NA,1
"162","71","AC","71","Richmond Pkwy TC - El Cerrito Plaza BART",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,48.5,30,7,8
"163","386","AC","386","Hayw. BART -  Winton (SS ONLY)",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"164","46L","AC","46L","Coliseum BART-Mountain -Golf Links Rd-Dunkirk Ave",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,64.5,64,4,4
"165","604","AC","604","Berkeley - Oakland - H.Royce School",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,240,1,1
"166","12","AC","12","Dtn. Oakland /Dtn. Berkeley/4th St. Harrison",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,23,20,10.5,12
"167","20","AC","20","Fruitvale Ave /Alameda /11th M.L.K. JR WY",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,30,30,8,8
"168","605","AC","605","Berkeley - Oakland - H.Royce School",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,240,1,1
"169","628","AC","628","Cedar Blvd.",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"170","629","AC","629","Cherry St.",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"171","631","AC","631","Alameda - Encinal High School",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,120,240,2,1
"172","638","AC","638","73rd International Blvd - Skyline High",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"173","641","AC","641","Fremont High- Frick Middle - 106th Bancroft",3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"174","626","AC","626","Newark Blvd.",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"175","OX","AC","OX","San Francisco - Alameda - Bay Farm Is.",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,30,24,8,10
"176","232","AC","232","Fremont BART-U.C. BART-Mission-Ohlone Newark",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,60.5,59.5,4,4
"177","76","AC","76","Hilltop Mall - CCC - del Norte BART",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,29,30,8.5,8
"178","6","AC","6","Downtown Oakland-Downtown Berkeley",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10,10,23,24
"179","663","AC","663","Encianal H.S./  Island H.S./ Broadway Blanding",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,240,1,1
"180","667","AC","667","N.Richmond - Rich. BART - El Cerrito",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,240,1,1
"181","669","AC","669","CCC - DeAnza HS/Crespi MS",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,240,1,1
"182","671","AC","671","CCC - De Anza HS/Crespi MS",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"183","672","AC","672","N.Richmond - San Pablo - El Sobrante",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"184","680","AC","680","Bishop O'Dowd H.S./ Macarthur Blvd",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,240,1,1
"185","681","AC","681","Rich Pkwy & W.Macd - DeJean M.S.",3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,240,NA,1,NA
"186","682","AC","682","Bishop O'Dowd H.S./ Montclair/ 40th Broadway",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,240,1,1
"187","684","AC","684","Rich. BART /El Cerrito HS",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,240,1,1
