"","route_id","agency_id","route_short_name","route_long_name","route_type","f_am","f_pm","f_am_ls_thn_15m","f_pm_ls_thn_15m","f_am_bdl","f_pm_bdl","f_tpa_qual","avg_am_headway","avg_pm_headway","avg_am_trips","avg_pm_trips"
"1","E","SF","E","EMBARCADERO",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"2","F","SF","F","MARKET & WHARVES",0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"3","1","SF","1","CALIFORNIA",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,31,25.3333333333333,31.6666666666667
"4","1AX","SF","1AX","CALIFORNIA A EXPRESS",3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,13,24,18,10
"5","1BX","SF","1BX","CALIFORNIA B EXPRESS",3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10,21,22,11
"6","31AX","SF","31AX","BALBOA A EXPRESS",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,17,20,14,12
"7","31BX","SF","31BX","BALBOA B EXPRESS",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,17,22,14,11
"8","38AX","SF","38AX","GEARY A EXPRESS",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,18,22,13,11
"9","38BX","SF","38BX","GEARY B EXPRESS",3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,17,22,14,11
"10","2","SF","2","CLEMENT",3,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,88.5,22.6666666666667,6.5,12
"11","3","SF","3","JACKSON",3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,35.3333333333333,26.6666666666667,8.66666666666667,10
"12","5","SF","5","FULTON",3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,34.6666666666667,38,11.6666666666667,22
