,filename,year,date_exported,operator,pathname,source
82,GTFSTransitData_FS_2012.12.16.zip,2013,2012.12.16,FS,2013/GTFSTransitData_FS_2012.12.16.zip,mtc
83,GTFSTransitData_GF_2012.12.10.zip,2013,2012.12.10,GF,2013/GTFSTransitData_GF_2012.12.10.zip,mtc
84,GTFSTransitData_GG_2012.12.09.zip,2013,2012.12.09,GG,2013/GTFSTransitData_GG_2012.12.09.zip,mtc
85,GTFSTransitData_MA_2013.01.22.zip,2013,2013.01.22,MA,2013/GTFSTransitData_MA_2013.01.22.zip,mtc
86,GTFSTransitData_MS_2013.01.07.zip,2013,2013.01.07,MS,2013/GTFSTransitData_MS_2013.01.07.zip,mtc
87,GTFSTransitData_PE_2012.10.12.zip,2013,2012.10.12,PE,2013/GTFSTransitData_PE_2012.10.12.zip,mtc
88,GTFSTransitData_RV_2012.08.11.zip,2013,2012.08.11,RV,2013/GTFSTransitData_RV_2012.08.11.zip,mtc
89,GTFSTransitData_SC_2013.01.22.zip,2013,2013.01.22,SC,2013/GTFSTransitData_SC_2013.01.22.zip,mtc
90,GTFSTransitData_SM_2013.01.13.zip,2013,2013.01.13,SM,2013/GTFSTransitData_SM_2013.01.13.zip,mtc
91,GTFSTransitData_SO_2012.06.09.zip,2013,2012.06.09,SO,2013/GTFSTransitData_SO_2012.06.09.zip,mtc
92,GTFSTransitData_SR_2012.11.26.zip,2013,2012.11.26,SR,2013/GTFSTransitData_SR_2012.11.26.zip,mtc
93,GTFSTransitData_SV_2012.12.03.zip,2013,2012.12.03,SV,2013/GTFSTransitData_SV_2012.12.03.zip,mtc
94,GTFSTransitData_UC_2012.03.30.zip,2013,2012.03.30,UC,2013/GTFSTransitData_UC_2012.03.30.zip,mtc
95,GTFSTransitData_VC_2012.08.03.zip,2013,2012.08.03,VC,2013/GTFSTransitData_VC_2012.08.03.zip,mtc
96,GTFSTransitData_VN_2012.12.15.zip,2013,2012.12.15,VN,2013/GTFSTransitData_VN_2012.12.15.zip,mtc
97,GTFSTransitData_WC_2012.10.12.zip,2013,2012.10.12,WC,2013/GTFSTransitData_WC_2012.10.12.zip,mtc
98,GTFSTransitData_WH_2012.11.03.zip,2013,2012.11.03,WH,2013/GTFSTransitData_WH_2012.11.03.zip,mtc
99,GTFSTransitData_YV_2012.03.06.zip,2013,2012.03.06,YV,2013/GTFSTransitData_YV_2012.03.06.zip,mtc
170,GTFSTransitData_SF_2015.08.11.zip,2015,2015.08.11,SF,2015/GTFSTransitData_SF_2015.08.11.zip,mtc
206,GTFSTransitData_3D.zip,2016,2016.07.06,3D,2016/GTFSTransitData_3D.zip,mtc
207,GTFSTransitData_AC.zip,2016,2016.07.06,AC,2016/GTFSTransitData_AC.zip,mtc
208,GTFSTransitData_AM.zip,2016,2016.07.06,AM,2016/GTFSTransitData_AM.zip,mtc
209,GTFSTransitData_AT.zip,2016,2016.07.06,AT,2016/GTFSTransitData_AT.zip,mtc
210,GTFSTransitData_AY.zip,2016,2016.07.06,AY,2016/GTFSTransitData_AY.zip,mtc
211,GTFSTransitData_BA.zip,2016,2016.07.06,BA,2016/GTFSTransitData_BA.zip,mtc
212,GTFSTransitData_BG.zip,2016,2016.07.06,BG,2016/GTFSTransitData_BG.zip,mtc
213,GTFSTransitData_CC.zip,2016,2016.07.06,CC,2016/GTFSTransitData_CC.zip,mtc
214,GTFSTransitData_CE.zip,2016,2016.07.06,CE,2016/GTFSTransitData_CE.zip,mtc
215,GTFSTransitData_CT.zip,2016,2016.07.06,CT,2016/GTFSTransitData_CT.zip,mtc
216,GTFSTransitData_DE.zip,2016,2016.07.06,DE,2016/GTFSTransitData_DE.zip,mtc
217,GTFSTransitData_EM.zip,2016,2016.07.06,EM,2016/GTFSTransitData_EM.zip,mtc
218,GTFSTransitData_FS.zip,2016,2016.07.06,FS,2016/GTFSTransitData_FS.zip,mtc
219,GTFSTransitData_GF.zip,2016,2016.07.06,GF,2016/GTFSTransitData_GF.zip,mtc
220,GTFSTransitData_GG.zip,2016,2016.07.06,GG,2016/GTFSTransitData_GG.zip,mtc
221,GTFSTransitData_HF.zip,2016,2016.07.06,HF,2016/GTFSTransitData_HF.zip,mtc
222,GTFSTransitData_MA.zip,2016,2016.07.06,MA,2016/GTFSTransitData_MA.zip,mtc
223,GTFSTransitData_MS.zip,2016,2016.07.06,MS,2016/GTFSTransitData_MS.zip,mtc
224,GTFSTransitData_PE.zip,2016,2016.07.06,PE,2016/GTFSTransitData_PE.zip,mtc
225,GTFSTransitData_RV.zip,2016,2016.07.06,RV,2016/GTFSTransitData_RV.zip,mtc
226,GTFSTransitData_SB.zip,2016,2016.07.06,SB,2016/GTFSTransitData_SB.zip,mtc
227,GTFSTransitData_SC.zip,2016,2016.07.06,SC,2016/GTFSTransitData_SC.zip,mtc
228,GTFSTransitData_SF.zip,2016,2016.07.06,SF,2016/GTFSTransitData_SF.zip,mtc
229,GTFSTransitData_SM.zip,2016,2016.07.06,SM,2016/GTFSTransitData_SM.zip,mtc
230,GTFSTransitData_SO.zip,2016,2016.07.06,SO,2016/GTFSTransitData_SO.zip,mtc
231,GTFSTransitData_SR.zip,2016,2016.07.06,SR,2016/GTFSTransitData_SR.zip,mtc
232,GTFSTransitData_ST.zip,2016,2016.07.06,ST,2016/GTFSTransitData_ST.zip,mtc
233,GTFSTransitData_UC.zip,2016,2016.07.06,UC,2016/GTFSTransitData_UC.zip,mtc
234,GTFSTransitData_VC.zip,2016,2016.07.06,VC,2016/GTFSTransitData_VC.zip,mtc
235,GTFSTransitData_VN.zip,2016,2016.07.06,VN,2016/GTFSTransitData_VN.zip,mtc
236,GTFSTransitData_WC.zip,2016,2016.07.06,WC,2016/GTFSTransitData_WC.zip,mtc
237,GTFSTransitData_WH.zip,2016,2016.07.06,WH,2016/GTFSTransitData_WH.zip,mtc
272,3D.zip,2017,2017.07.17,3D,2017/3D.zip,mtc
273,AC.zip,2017,2017.07.17,AC,2017/AC.zip,mtc
274,AM.zip,2017,2017.07.17,AM,2017/AM.zip,mtc
275,AT.zip,2017,2017.07.17,AT,2017/AT.zip,mtc
276,AY.zip,2017,2017.07.17,AY,2017/AY.zip,mtc
277,BA.zip,2017,2017.07.17,BA,2017/BA.zip,mtc
278,BG.zip,2017,2017.07.17,BG,2017/BG.zip,mtc
279,CC.zip,2017,2017.07.17,CC,2017/CC.zip,mtc
280,CE.zip,2017,2017.07.17,CE,2017/CE.zip,mtc
281,CM.zip,2017,2017.07.17,CM,2017/CM.zip,mtc
282,CT.zip,2017,2017.07.17,CT,2017/CT.zip,mtc
283,DE.zip,2017,2017.07.17,DE,2017/DE.zip,mtc
284,EM.zip,2017,2017.07.17,EM,2017/EM.zip,mtc
285,FS.zip,2017,2017.07.17,FS,2017/FS.zip,mtc
286,GF.zip,2017,2017.07.17,GF,2017/GF.zip,mtc
287,GG.zip,2017,2017.07.17,GG,2017/GG.zip,mtc
