"","route_id","direction_id","am_headway","pm_headway","am_trips","pm_trips"
"1","1",0,9,8,28,30
"2","1",1,9,8,28,29
"3","10",0,15,15,16,16
"4","10",1,15,15,16,16
"5","12",0,23,20,11,12
"6","12",1,23,20,10,12
"7","14",0,15,15,16,16
"8","14",1,16,15,15,16
"9","18",0,16,15,15,16
"10","18",1,16,15,15,16
"11","19",0,21,23,11,10
"12","19",1,21,23,12,11
"13","20",0,30,30,8,8
"14","20",1,30,30,8,8
"15","200",0,32,31,8,8
"16","200",1,34,30,7,8
"17","21",0,45,30,6,8
"18","21",1,36,66,7,4
"19","210",0,30,30,8,8
"20","210",1,30,30,8,8
"21","212",0,36,30,7,8
"22","212",1,31,30,8,8
"23","215",0,80,60,3,4
"24","215",1,61,61,4,4
"25","216",0,60,60,4,4
"26","216",1,61,60,4,4
"27","217",0,31,30,8,8
"28","217",1,135,30,4.5,8
"29","22",0,36,30,7,8
"30","22",1,35,30,7,8
"31","232",0,61,59,4,4
"32","232",1,60,60,4,4
"33","239",0,38,31,6,8
"34","239",1,44,30,6,8
"35","251",0,67,59,4,4
"36","251",1,60,60,4,4
"37","29",0,23,21,11,11
"38","29",1,22,21,11,12
"39","32",0,60,60,4,4
"40","32",1,60,60,4,4
"41","33",0,22,15,11,16
"42","33",1,23,16,11,16
"43","339",0,240,240,1,1
"44","339",1,240,240,1,1
"45","36",0,32,30,8,8
"46","36",1,32,30,8,8
"47","37",0,60,60,4,4
"48","37",1,60,60,4,4
"49","39",0,48,60,5,4
"50","39",1,67,65,4,4
"51","40",0,20,20,12,12
"52","40",1,21.5,20,11,12
"53","45",0,22,16,11,15
"54","45",1,22,16,11,15
"55","46",0,161,50,2,5
"56","46",1,144.5,60,1.5,4
"57","46L",0,60,65,4,4
"58","46L",1,69,63,4,4
"59","47",0,62,158,4,2
"60","47",1,160,68,2,4
"61","48",0,76,60,3,4
"62","48",1,76,61,3,4
"63","51A",0,92,10,15,24
"64","51A",1,11,10,22,24
"65","51B",0,10,10,23,25
"66","51B",1,10,10,23,24
"67","52",0,16,16,15,15
"68","52",1,16,15,15,16
"69","54",0,13,16,19,15
"70","54",1,13,16,19,15
"71","57",0,16,15,16,16
"72","57",1,16,15,15,16
