"","route_id","direction_id","am_headway","pm_headway","am_trips","pm_trips"
"73","6",0,10,10,23,24
"74","6",1,10,10,23,24
"75","60",0,20,20,12,12
"76","60",1,20,20,12,12
"77","604",0,240,NA,1,NA
"78","604",1,NA,240,NA,1
"79","605",0,240,NA,1,NA
"80","605",1,NA,240,NA,1
"81","606",0,NA,240,NA,1
"82","606",1,240,NA,1,NA
"83","607",0,240,NA,1,NA
"84","611",1,240,NA,1,NA
"85","617",1,240,NA,1,NA
"86","618",1,240,NA,1,NA
"87","62",0,15,16,16,15
"88","62",1,16,16,15,15
"89","620",1,240,NA,1,NA
"90","621",0,NA,240,NA,1
"91","621",1,240,NA,1,NA
"92","623",0,120,NA,2,NA
"93","623",1,NA,240,NA,1
"94","624",0,NA,240,NA,1
"95","625",1,240,NA,1,NA
"96","626",0,240,NA,1,NA
"97","628",1,240,NA,1,NA
"98","629",1,240,NA,1,NA
"99","631",0,NA,240,NA,1
"100","631",1,120,NA,2,NA
"101","632",0,240,NA,1,NA
"102","638",0,240,NA,1,NA
"103","643",0,240,NA,1,NA
"104","646",0,NA,240,NA,1
"105","646",1,120,NA,2,NA
"106","648",0,180,NA,1.5,NA
"107","648",1,NA,240,NA,1
"108","649",1,240,NA,1,NA
"109","65",0,66,61,4,4
"110","65",1,31,31,8,8
"111","650",0,240,NA,1,NA
"112","651",0,NA,240,NA,1
"113","651",1,240,NA,1,NA
"114","652",0,240,NA,1,NA
"115","654",0,181,NA,1,NA
"116","655",1,240,NA,1,NA
"117","657",0,NA,240,NA,1
"118","657",1,240,NA,1,NA
"119","658",0,240,NA,1,NA
"120","662",0,240,NA,1,NA
"121","662",1,NA,240,NA,1
"122","663",0,NA,240,NA,1
"123","663",1,240,NA,1,NA
"124","667",0,NA,240,NA,1
"125","667",1,240,NA,1,NA
"126","668",0,NA,240,NA,1
"127","668",1,240,NA,1,NA
"128","669",0,240,NA,1,NA
"129","669",1,NA,240,NA,1
"130","67",0,30,30,8,8
"131","67",1,31,30,8,8
"132","671",0,240,NA,1,NA
"133","672",0,240,NA,1,NA
"134","675",0,NA,240,NA,1
"135","675",1,120,NA,2,NA
"136","676",0,240,NA,1,NA
"137","676",1,NA,240,NA,1
"138","677",1,240,NA,1,NA
"139","679",0,240,NA,1,NA
"140","680",0,240,NA,1,NA
"141","680",1,NA,240,NA,1
"142","681",1,240,NA,1,NA
"143","682",0,NA,240,NA,1
"144","682",1,240,NA,1,NA
"145","684",0,NA,240,NA,1
"146","684",1,240,NA,1,NA
"147","687",0,240,NA,1,NA
"148","688",0,240,NA,1,NA
"149","688",1,NA,240,NA,1
"150","696",0,240,NA,1,NA
"151","696",1,NA,160,NA,2
"152","7",0,30,30,8,8
"153","7",1,31,30,8,8
"154","70",0,30,30,8,8
"155","70",1,32,30,7,8
"156","71",0,67,30,6,8
"157","71",1,30,30,8,8
"158","72",0,65,30,6,8
"159","72",1,32,31,8,8
"160","72M",0,48,31,7,8
"161","72M",1,32,30,8,8
"162","72R",0,14,12,18,20
"163","72R",1,14,12,17,20
"164","73",0,15,15,16,16
"165","73",1,16,15,15,16
"166","74",0,34,31,7,8
"167","74",1,30,30,8,8
"168","75",0,60,60,4,4
"169","75",1,61,61,4,4
"170","76",0,28,30,9,8
"171","76",1,30,30,8,8
"172","79",0,31,31,8,8
"173","79",1,33,32,7,7
"174","80",0,32,30,7,8
"175","80",1,34,30,7,8
"176","800",1,240,NA,1,NA
"177","801",0,240,NA,1,NA
"178","801",1,240,NA,1,NA
"179","805",1,240,NA,1,NA
"180","81",0,33,30,7,8
"181","81",1,33,31,7,8
"182","83",0,60,60,4,4
"183","83",1,60,60,4,4
"184","840",0,240,NA,1,NA
"185","85",0,68,60,4,4
"186","85",1,70,60,4,4
"187","86",0,60,60,4,4
"188","86",1,60,61,4,4
"189","88",0,16,15,15,16
"190","88",1,16,15,15,16
"191","89",0,30,30,8,8
"192","89",1,31,30,8,8
"193","90",0,20,20,12,12
"194","90",1,21,20,12,12
"195","93",0,60,60,4,4
"196","93",1,61,60,4,4
"197","94",0,48,60,5,4
"198","94",1,49,61,5,4
"199","95",0,40,40,6,6
"200","95",1,40,41,6,6
"201","96",0,35,30,7,8
"202","96",1,31,30,8,8
"203","97",0,64,57,12,12
"204","97",1,16,16,15,15
"205","98",0,21,20,12,12
"206","98",1,20,20,12,12
"207","99",0,20,20,12,12
"208","99",1,20,20,12,12
"209","B",0,240,54,1,5
"210","B",1,80,80,3,3
"211","BSD",0,16,13,15,19
"212","BSD",1,16,13,15,19
"213","BSN",1,NA,240,NA,1
"214","C",0,NA,48,NA,5
"215","C",1,47,NA,5,NA
"216","CB",0,NA,75,NA,3
"217","CB",1,48,NA,5,NA
"218","E",0,48,168.5,5,1.5
"219","E",1,164,60,2,4
"220","F",0,31,95,8,5
"221","F",1,34,31,7,8
"222","FS",0,NA,79,NA,3
"223","FS",1,40,NA,6,NA
"224","G",0,48,NA,5,NA
"225","G",1,NA,78,NA,3
"226","H",0,30,NA,8,NA
"227","H",1,NA,41,NA,6
"228","J",0,NA,43,NA,6
"229","J",1,33,NA,7,NA
"230","L",0,NA,26,NA,9
"231","L",1,27,NA,9,NA
"232","LA",0,NA,63.5,NA,4
"233","LA",1,164,120,2.5,2
"234","M",0,46,48,5,5
"235","M",1,41,55,6,4
"236","NL",0,16,17,15,14
"237","NL",1,21,16,12,15
"238","NX",0,25,NA,10,NA
"239","NX1",0,NA,34,NA,7
"240","NX2",0,NA,28,NA,8
"241","NX3",0,NA,45,NA,5
"242","NX3",1,46,NA,5,NA
"243","NX4",0,48,NA,5,NA
"244","NX4",1,NA,34,NA,7
"245","O",0,17,35,14,7
"246","O",1,27,18,9,13
"247","OX",0,30,NA,8,NA
"248","OX",1,NA,24,NA,10
"249","P",0,NA,16,NA,15
"250","P",1,40,NA,6,NA
"251","S",0,60,NA,4,NA
"252","S",1,NA,62,NA,4
"253","SB",0,40,NA,6,NA
"254","SB",1,NA,52,NA,5
"255","U",0,NA,44,NA,5
"256","U",1,51,NA,5,NA
"257","V",0,NA,21,NA,12
"258","V",1,34,NA,7,NA
"259","W",0,32,NA,7,NA
"260","W",1,NA,34,NA,7
"261","Z",0,120,NA,2,NA
"262","Z",1,NA,120,NA,2
"263","SHUTTLE",0,240,240,1,1
"264","SHUTTLE",1,240,NA,1,NA
"265","Bayshore Technology Park",0,58,138,4,3
"266","Brisbane-Bayshore Caltrain",0,137,NA,2,NA
"267","Brisbane-Bayshore Caltrain",1,NA,114,NA,2
"268","Brisbane-Crocker Park BART/Cal",0,23,NA,10,NA
"269","Brisbane-Crocker Park BART/Cal",1,NA,66,NA,5
"270","Burlingame-Bayside BART/Caltra",0,30,NA,8,NA
"271","Burlingame-Bayside BART/Caltra",1,NA,75,NA,5
"272","Burlingame-North BART/Caltrain",0,30,NA,8,NA
"273","Burlingame-North BART/Caltrain",1,NA,113,NA,5
"274","Foster City-Lincoln Centre Cal",0,62,139,4,3
"275","Foster City-North BART/Caltrai",0,73,NA,6,NA
"276","Foster City-North BART/Caltrai",1,NA,135,NA,4
"277","Redwood City-Midpoint Caltrain",0,40,40,6,6
"278","Redwood City-Seaport Centre Ca",0,35,135,7,3
"279","San Carlos Industrial",0,41,131,6,4
"280","San Mateo-Campus Drive Caltrai",0,119,NA,3,NA
"281","San Mateo-Campus Drive Caltrai",1,NA,130,NA,3
"282","San Mateo-Mariners' Island Cal",0,59,NA,4,NA
"283","San Mateo-Mariners' Island Cal",1,NA,145,NA,3
"284","San Mateo-Norfolk Caltrain",0,111,NA,3,NA
"285","San Mateo-Norfolk Caltrain",1,NA,64,NA,5
"286","So. San Francisco-Genesis One",0,119,45,3,5
"287","So. San Francisco-Oyster Point",0,161.5,NA,2,NA
"288","So. San Francisco-Oyster Point",1,NA,80,NA,3
"289","So. San Francisco-Oyster Pt BA",0,37,NA,7,NA
"290","So. San Francisco-Oyster Pt BA",1,NA,88,NA,4
"291","So. San Francisco-Oyster Pt Ca",0,31,NA,8,NA
"292","So. San Francisco-Oyster Pt Ca",1,NA,90,NA,5
"293","So. San Francisco-Utah/Grand B",0,33,83,7,4
"294","So. San Francisco-Utah/Grand C",0,50,135,6,3
"295","So. San Francisco-Utah/Grand F",0,104,NA,3,NA
"296","So. San Francisco-Utah/Grand F",1,240,80,1,3
"297","DB",0,43,32,6,7
"298","DB",1,33,32,7,8
"299","DB1",0,33,21,7,12
"300","DB1",1,25,26,10,9
"301","Hollis",0,56,150,5,2
"302","Hollis North",0,8,7,32,35
"303","Hollis South",0,10,9,23,28
"304","North Shellmound",0,12,8,23,31
"305","Shellmound/Powell",0,52,78,6,4
"306","South Shellmound/Powell",0,17.5,13,14.5,19
"307","Watergate Express",0,21,12,12,23
"308","1",0,30,30,8,8
"309","1",1,33,30,7,8
"310","2",0,35,30,7,8
"311","2",1,32,30,8,8
"312","20",0,77,60,3,4
"313","3",0,30,30,8,8
"314","3",1,30,30,8,8
"315","30",0,180,240,1.5,1
"316","30",1,240,NA,1,NA
"317","4",0,79,60,3,4
"318","4",1,60,60,4,4
"319","40",0,162,122,2,3
"320","40",1,120,151.5,2,2.5
"321","5",0,60,60,4,4
"322","5",1,61,61,4,4
"323","6",0,32,30,8,8
"324","6",1,36,30,7,8
"325","7",0,30,30,8,8
"326","7",1,34,30,7,8
"327","7AT",0,163,NA,2,NA
"328","7AT-3",0,240,NA,1,NA
"329","7BT",0,NA,123,NA,2
"330","8",0,120,61,2,4
"331","8",1,80,60,3,4
"332","9",0,30,30,8,8
"333","9",1,30,30,8,8
"334","90",0,67,41.5,3.5,6
"335","90",1,61,42,5,6
"336","101",0,69,37,4,7
"337","101",1,105,60,4,4
"338","101X",0,NA,148,NA,2
"339","101X",1,120,NA,2,NA
"340","18",0,31,NA,8,NA
"341","18",1,NA,39,NA,6
"342","2",0,35,NA,7,NA
"343","2",1,NA,70,NA,4
"344","24",0,98,NA,6,NA
"345","24",1,NA,116,NA,4
"346","24X",0,80,NA,3,NA
"347","24X",1,NA,80,NA,3
"348","25",0,34,NA,7,NA
"349","25",1,NA,42,NA,6
"350","27",0,164,133,3,3
"351","27",1,160,132,2,4
"352","30",0,61,65,4,4
"353","30",1,65,60,4,4
"354","38",0,60,NA,4,NA
"355","38",1,NA,60,NA,4
"356","4",0,46,60,8,4
"357","4",1,100,77,2,10
"358","40",0,40,31,6,8
"359","40",1,35,30,7,8
"360","40X",0,NA,48,NA,5
"361","40X",1,48,NA,5,NA
"362","44",0,120,NA,2,NA
"363","44",1,NA,189,NA,1
"364","54",0,81,NA,7,NA
"365","54",1,NA,117,NA,4
"366","56",0,59,NA,4,NA
"367","56",1,NA,45,NA,5
"368","58",0,NA,80,NA,3
"369","58",1,60,NA,4,NA
"370","70",0,61,62,4,4
"371","70",1,62,62,4,4
"372","72",0,89,NA,4,NA
"373","72",1,NA,37,NA,6
"374","72X",0,92,NA,3,NA
"375","72X",1,NA,80,NA,3
"376","74",0,46,NA,6,NA
"377","74",1,NA,49,NA,5
"378","76",0,76,NA,4,NA
"379","76",1,NA,56,NA,4
"380","8",0,120,NA,2,NA
"381","8",1,NA,240,NA,1
"382","92",0,73,64,3,4
"383","92",1,80,62,3,4
"384","93",0,NA,60,NA,4
"385","93",1,27,NA,9,NA
"386","17",0,40,40,6,6
"387","17",1,37,19,7,13
"388","219",0,64,22,5,11
"389","219",1,90,76,4,5
"390","22",0,32,32,8,8
"391","22",1,43,33,6,7
"392","228",0,70,60,4,4
"393","228",1,96,61,3,4
"394","23",0,73,61,3,4
"395","23",1,61,61,4,4
"396","233",0,60,60,4,4
"397","233",1,80,61,3,4
"398","23X",0,160,60,2,4
"399","23X",1,60,60,4,4
"400","245",0,80,61,3,4
"401","245",1,80,60,3,4
"402","251",0,80,60,3,4
"403","251",1,120,60,2,4
"404","257",0,118,61,3,4
"405","257",1,99,61,3,4
"406","29",0,160,150,2,2.5
"407","29",1,64,62,4,4
"408","35",0,78.5,29,4.5,9
"409","35",1,48,30,7,8
"410","36",0,135.5,28,4.5,9
"411","36",1,100,23,5,12
"412","49",0,27,32,9,8
"413","49",1,34,31,7,8
"414","61",0,229,136,1,2
"415","61",1,240,205,1,1
"416","68",0,219,108,1,2
"417","68",1,225.5,119,1,2
"418","71X",0,38,49,7,5
"419","71X",1,47,40,5,6
"420","1",0,120,120,2,2
"421","11",0,30,23,8,10
"422","11",1,33,23,7,10
"423","2",0,30,26,8,9
"424","2",1,31,25,8,10
"425","24",0,80,80,3,3
"426","3",0,68,86,4,3
"427","33",0,68,105,4,3
"428","5",0,236,NA,1,NA
"429","50",0,240,240,1,1
"430","50",1,240,240,1,1
"431","52",0,NA,240,NA,1
"432","52",1,240,NA,1,NA
"433","11",1,240,NA,1,NA
"434","110",0,141,32,3.5,7
"435","110",1,37,84,6,4
"436","112",0,118,150.5,3,2.5
"437","112",1,150,60,2.5,4
"438","118",0,208,101,1,2
"439","118",1,80,120,3,2
"440","120",0,13,101,18,13
"441","120",1,14,11,17,21
"442","121",0,152.5,31,2.5,8
"443","121",1,105,40,5,7
"444","122",0,27,25,9,10
"445","122",1,30,25,8,10
"446","130",0,14,97,17,11
"447","130",1,62,15,13,16
"448","131",0,15,17,16,14
"449","131",1,16,16,15,15
"450","133",0,30,30,8,8
"451","133",1,30,30,8,8
"452","14",0,80,159,3,2
"453","140",0,94,30,4,8
"454","140",1,49,33,6,7
"455","141",0,73,171,4,2
"456","141",1,173.333333333333,105,2.66666666666667,4
"457","16",0,120,NA,2,NA
"458","16",1,NA,120,NA,2
"459","17",0,167,79,2,4
"460","17",1,152.5,161.5,2.5,2
"461","18",0,NA,240,NA,1
"462","18",1,NA,120,NA,2
"463","19",0,240,NA,1,NA
"464","24",0,NA,240,NA,1
"465","24",1,240,NA,1,NA
"466","25",0,240,NA,1,NA
"467","250",0,40,31,6,8
"468","250",1,39,28,7,9
"469","251",0,NA,165,NA,2
"470","251",1,NA,120,NA,2
"471","252",0,61,61,4,4
"472","256",0,60,218,4,1
"473","256",1,158,120,2,2
"474","260",0,119,109,4,3
"475","260",1,110,33,4,7
"476","270",0,77,60,3,4
"477","270",1,60,60,4,4
"478","273",0,240,240,1,1
"479","273",1,240,240,1,1
"480","274",0,24,31,10,8
"481","274",1,30,34,8,7
"482","275",0,28,30,9,8
"483","275",1,30,30,8,8
"484","276",0,60,60,4,4
"485","276",1,62,62,4,4
"486","28",0,240,NA,1,NA
"487","28",1,NA,120,NA,2
"488","280",0,70,64,4,4
"489","280",1,59,59,4,4
"490","281",0,17,16,14,15
"491","281",1,19,17,12,14
"492","286",0,120,120,2,2
"493","286",1,120,120,2,2
"494","29",0,240,NA,1,NA
"495","292",0,43,41,6,7
"496","292",1,51,25,6,10
"497","294",0,80,63,3,4
"498","294",1,60,60,4,4
"499","295",0,54,58,5,4
"500","295",1,50,64,5,4
"501","296",0,18,15,13,16
"502","296",1,15,16,16,15
"503","35",0,240,NA,1,NA
"504","35",1,NA,80,NA,3
"505","37",0,NA,240,NA,1
"506","37",1,240,NA,1,NA
"507","38",0,160,NA,1.66666666666667,NA
"508","38",1,NA,170,NA,2
"509","39",0,240,NA,1,NA
"510","39",1,NA,240,NA,1
"511","397",0,240,NA,1,NA
"512","398",0,70,240,3,1
"513","398",1,240,64,1,4
"514","43",0,NA,240,NA,1
"515","46",0,240,NA,1,NA
"516","49",0,NA,240,NA,1
"517","49",1,240,NA,1,NA
"518","53",1,240,NA,1,NA
"519","54",1,240,NA,1,NA
"520","55",1,240,NA,1,NA
"521","56",1,240,NA,1,NA
"522","57",1,240,NA,1,NA
"523","58",1,240,NA,1,NA
"524","59",1,120,NA,2,NA
"525","60",0,NA,240,NA,1
"526","60",1,180,NA,1.5,NA
"527","61",0,NA,240,NA,1
"528","61",1,60,NA,4,NA
"529","62",0,240,NA,1,NA
"530","62",1,NA,240,NA,1
"531","67",1,161,NA,2,NA
"532","68",1,193,NA,1,NA
"533","72",0,240,NA,1,NA
"534","72",1,NA,240,NA,1
"535","73",0,240,NA,1,NA
"536","79",1,149,NA,2,NA
"537","81",0,NA,240,NA,1
"538","82",1,240,NA,1,NA
"539","83",1,120,NA,2,NA
"540","84",0,240,NA,1,NA
"541","85",1,240,NA,1,NA
"542","86",1,NA,240,NA,1
"543","87",1,240,NA,1,NA
"544","88",1,240,NA,1,NA
"545","95",0,NA,240,NA,1
"546","95",1,240,NA,1,NA
"547","ECR",0,60,15,13,16
"548","ECR",1,47,15,13,16
"549","FLX",0,48,52,5,5
"550","KX",0,74,NA,3,NA
"551","KX",1,NA,93,NA,3
"552","SCS",0,61,48,4,5
"553","1",0,38,30,6,8
"554","10",0,32,23,8,11
"555","11",0,31,30,8,8
"556","12",0,31,30,8,8
"557","14",0,31,30,8,8
"558","15",0,61,60,4,4
"559","17",0,130,60,3,4
"560","18",0,111,91,2,3
"561","19",0,31,30,8,8
"562","2",0,60,60,4,4
"563","22",0,NA,240,NA,1
"564","3",0,31,30,8,8
"565","4",0,66,60,4,4
"566","5",0,32,30,7,8
"567","6",0,44,44,6,6
"568","7",0,60,60,4,4
"569","8",0,32,33,8,7
"570","9",0,32,29,7,8
"571","1",0,12.5,43,22,29.5
"572","1",1,8,7,32,36
"573","10",0,16,15,15,16
"574","10",1,12,74.5,21,8
"575","12",0,16,127.5,15,8.5
"576","12",1,18,15,13,16
"577","14",0,54,103,9.5,9.66666666666667
"578","14",1,48,46,14,14
"579","14R",0,9,9,28,27
"580","14R",1,19,8,18,30
"581","14X",0,NA,10,NA,24
"582","14X",1,10,NA,23,NA
"583","18",0,21,20,12,12
"584","18",1,22,20,11,12
"585","19",0,17,15,14,16
"586","19",1,16,15,15,16
"587","1AX",0,NA,24,NA,10
"588","1AX",1,13,NA,18,NA
"589","1BX",0,NA,21,NA,11
"590","1BX",1,10,NA,22,NA
"591","2",0,33.5,20,8.5,13
"592","2",1,143.5,28,4.5,10
"593","21",0,10,9,24,26
"594","21",1,9,9,28,26
"595","22",0,13,72,23,25
"596","22",1,149,122.333333333333,9,12
"597","23",0,67,130,5,6.5
"598","23",1,20,20,12,12
"599","24",0,33,9,14,27
"600","24",1,126,13,12.5,26
"601","25",0,11,15,22,16
"602","25",1,11,16,22,15
"603","27",0,16,15,15,16
"604","27",1,39,15,11,16
"605","28",0,11,61,22,19
"606","28",1,11,10,21,24
"607","28R",0,14,25,17,22
"608","28R",1,34,10,8,24
"609","29",0,28,148.5,15,11
"610","29",1,58,65.5,10.5,12
"611","3",0,21,16,12,15
"612","3",1,42.5,32,7,7.5
"613","30",0,61.5,9,10,30
"614","30",1,72,39,13.5,12.3333333333333
"615","30X",0,NA,14,NA,18
"616","30X",1,6,NA,37,NA
"617","31",0,29,49,13,13
"618","31",1,12,101.5,19,10
"619","31AX",0,NA,20,NA,12
"620","31AX",1,17,NA,14,NA
"621","31BX",0,NA,22,NA,11
"622","31BX",1,17,NA,14,NA
"623","33",0,27,15,13,16
"624","33",1,48,127.5,9,8.5
"625","35",0,33,17,7,14
"626","35",1,36,17,7,14
"627","36",0,32,30,8,8
"628","36",1,31,30,8,8
"629","37",0,26,15,12,16
"630","37",1,94,15,10,16
"631","38",0,51,128,11,8
"632","38",1,29,15.5,9,15.5
"633","38AX",0,NA,22,NA,11
"634","38AX",1,18,NA,13,NA
"635","38BX",0,17,NA,14,NA
"636","38BX",1,NA,22,NA,11
"637","38R",0,5,4,52,53
"638","38R",1,6,4,38,54
"639","39",0,82,20,3,12
"640","39",1,120,20,2,12
"641","41",0,13,45,19,20
"642","41",1,106,33.5,20,11
"643","43",0,11,10,21,23
"644","43",1,10,10,24,24
"645","44",0,73,111,15,16
"646","44",1,52.6666666666667,9,11,28
"647","45",0,23,12,25,20
"648","45",1,109,12,13,20
"649","47",0,9,8,26,31
"650","47",1,9,8,27,30
"651","48",0,35,72,9.5,9.5
"652","48",1,85,183,8,4
"653","49",0,9,8,28,31
"654","49",1,10,8,24,31
"655","5",0,29,10,12,25
"656","5",1,46,66,11,19
"657","52",0,25,21,10,11
"658","52",1,25,22,10,11
"659","54",0,21,20,12,12
"660","54",1,55,89,9,8
"661","55",0,15,15,16,16
"662","55",1,15,15,16,16
"663","56",0,44,80,6,4
"664","56",1,40,124,6,4
"665","57",0,21,20,11,12
"666","57",1,22,20,11,12
"667","5R",0,12,53,23,22
"668","5R",1,6,68,39,19.5
"669","6",0,22,158,13,8.5
"670","6",1,35,141.5,17,9
"671","66",0,21,20,12,12
"672","66",1,20,130,12,6.5
"673","67",0,20,20,12,12
"674","67",1,22,20,11,12
"675","7",0,14,29,17,8
"676","7",1,23,11,10,22
"677","7R",0,NA,17,NA,14
"678","7R",1,22,NA,11,NA
"679","7X",0,NA,18,NA,13
"680","7X",1,15,NA,16,NA
"681","8",0,48,162.333333333333,5,12
"682","8",1,9,134,27,5.5
"683","81X",0,40,NA,6,NA
"684","82X",0,NA,24,NA,10
"685","82X",1,22,NA,11,NA
"686","83X",0,24,23,10,10
"687","83X",1,23,27,11,9
"688","88",0,34,NA,7,NA
"689","88",1,NA,30,NA,8
"690","8AX",0,7,NA,35,NA
"691","8AX",1,NA,8,NA,31
"692","8BX",0,10,NA,26,NA
"693","8BX",1,NA,10,NA,24
"694","9",0,92.5,126,10,10.5
"695","9",1,59.5,12,10,20
"696","91",1,231,NA,1,NA
"697","9R",0,11,18.5,21,13.5
"698","9R",1,10,35,24,13
"699","K-OWL",1,240,NA,1,NA
"700","NX",0,NA,16,NA,15
"701","NX",1,14,NA,17,NA
"702","1",0,33,30,7,8
"703","1",1,98,30,5,8
"704","15",1,240,NA,1,NA
"705","17",1,240,NA,1,NA
"706","2",0,164,30,3,8
"707","2",1,31,30,8,8
"708","20",0,141,107,2,2
"709","20",1,236,109,1,2
"710","3",0,136,36,3,7
"711","4",0,76,40,4,6
"712","4",1,48,60,5,4
"713","5",0,48,40,5,6
"714","5",1,48,34,5,7
"715","6",0,60,60,4,4
"716","6",1,80,61,3,4
"717","7",0,30,30,8,8
"718","7",1,18,15,13,16
"719","78",0,81,38,4,6
"720","78",1,37,101,7,4
"721","8",0,80,61,3,4
"722","8",1,60,60,4,4
"723","80",0,51,10,11,25
"724","80",1,38,15,9,16
"725","85",0,60,65,4,4
"726","85",1,72,80,3,3
"727","9",0,80,62,3,4
"728","9",1,80,60,3,4
"729","10",0,60,70,4,4
"730","10T",0,NA,240,NA,1
"731","12",0,80,194,3,1
"732","12T",0,NA,240,NA,1
"733","14",0,216,120,1,2
"734","14T",0,NA,240,NA,1
"735","20",0,102,94,2,3
"736","20",1,216.5,82,1,3
"737","20X",0,NA,240,NA,1
"738","20X",1,240,NA,1,NA
"739","22",0,240,220,1,1
"740","22",1,185,180,1,1.5
"741","24",0,240,240,1,1
"742","26",0,240,180,1,1.5
"743","26",1,240,231.5,1,1
"744","28",0,240,240,1,1
"745","30",0,240,224.666666666667,1,1
"746","30",1,193,240,1.5,1
"747","30X",0,NA,240,NA,1
"748","30X",1,240,NA,1,NA
"749","32",0,184.5,240,1.5,1
"750","32",1,240,212,1,1
"751","34",0,240,NA,1,NA
"752","34",1,NA,240,NA,1
"753","38",0,NA,240,NA,1
"754","38",1,240,NA,1,NA
"755","40",0,120,80,2,3
"756","40",1,120,80,2,3
"757","42",0,240,120,1,2
"758","42",1,120,240,2,1
"759","44",0,212.5,219.5,1,1.25
"760","44",1,221.666666666667,231.666666666667,1,1
"761","44X",0,240,240,1,1
"762","44X",1,NA,240,NA,1
"763","46",0,240,240,1,1
"764","46",1,240,240,1,1
"765","48",0,212,82,1,3
"766","48",1,80,102,3,2
"767","48X",0,120,NA,2,NA
"768","48X",1,NA,110,NA,2
"769","60",0,240,216.4,1,1.2
"770","60",1,240,234.75,1,1
"771","60X",0,240,240,1,1
"772","60X",1,240,NA,1,NA
"773","62",0,80,120,3,2
"774","62",1,110,120,2,2
"775","66",0,95,92,3,3
"776","67",0,240,240,1,1
"777","67",1,234,240,1,1
"778","68",0,200,209,1.33333333333333,1.5
"779","1050A",0,32,23,8,11
"780","AE-F",0,NA,53,NA,5
"781","AE-F",1,44,NA,6,NA
"782","BOH",0,42,113,6,4
"783","BOH",1,65,47,4,6
"784","C",0,61,35,5,7
"785","HD",0,4,4,54,54
"786","MC",0,11,42,24,16
"787","P",0,7,38,36,15
"788","P",1,NA,83,NA,3
"789","RP",0,12,NA,21,NA
"790","RP",1,NA,12,NA,19
"791","S",0,48,NA,5,NA
"792","S",1,NA,40,NA,6
"793","SE",0,NA,56,NA,4
"794","SE",1,NA,81,NA,3
"795","SLAC",0,106,29,4,9
"796","VA",0,30,39,8,6
"797","X",0,19,20,16,12
"798","X",1,NA,12,NA,20
"799","Y",0,NA,14,NA,19
"800","Y",1,16,16,17,17
"801","200",0,80,120,3,2
"802","200",1,112,88,2,3
"803","201",0,38,34,6,7
"804","201",1,40,38,6,6
"805","300",0,25,43,10,6
"806","300",1,38,22,6,11
"807","379",0,NA,240,NA,1
"808","379",1,240,NA,1,NA
"809","380",0,81,99,4,5
"810","380",1,31,30,8,8
"811","383",0,240,222,1,1
"812","383",1,240,NA,1,NA
"813","385",0,173,128,2,3
"814","385",1,186,120,2,2
"815","386",0,240,240,1,1
"816","387",0,77,61,3,4
"817","387",1,58,63,4,4
"818","388",0,45,57,5,4
"819","388",1,36,44,7,5
"820","389",0,97,61,3,4
"821","390",0,61,NA,4,NA
"822","390",1,240,45,1,5
"823","391",0,36,40,7,6
"824","391",1,37,37,6,6
"825","1",0,38,32,6,8
"826","2",0,61,53,4,5
